PABST_1,PABST_2,PABST_3,PABST_4,PABST_5,PABST_6,PABST_7,PABST_8,PABST_9,PABST_10,PABST_11,PABST_12,PABST_13,PABST_14,PABST_15,PABST_16,PABST_17,PABST_18,PABST_19,PABST_20,PABST_21,PABST_22,PABST_23,PABST_24,PABST_25,PABST_26,PABST_27,PABST_28,PABST_29,PABST_30,PABST_31,PABST_32,THT_1,THT_2,THT_3,THT_4,THT_5,THT_6,THT_7,THT_8,THT_9,THT_10,THT_11,THT_12,THT_13,THT_14,THT_15,THT_16,THT_17,THT_18,THT_19,THT_20,THT_21,THT_22,THT_23,THT_24,THT_25,THT_26,THT_27,THT_28,THT_29,THT_30,THT_31,THT_32,ZS,SSOCANZ1,SSOCANZ2,SSOCANZ3,SSOCANZ4,SSOCANZ5,SSOCANZ6,ISBACANZ1,ISBACANZ2,ISBACANZ3,ISBACANZ4,ISBACANZ5,ISBACANZ6,BLD_HEIGHT,TEB_T1,TEB_T2,TEB_T3,TEB_T4,TEB_T5,TEB_T6,TEB_P1,TEB_P2,TEB_P3,TEB_P4,TEB_P5,TEB_P6,ISBA_T1,ISBA_T2,ISBA_T3,ISBA_T4,ISBA_T5,ISBA_T6,ISBA_P1,ISBA_P2,ISBA_P3,ISBA_P4,ISBA_P5,ISBA_P6,longitude,latitude,X,Y
101682.341490000006161,101173.045840000006137,100418.402929999996559,99524.095879999993485,98465.797739999994519,97212.126839999997173,95726.415909999996074,93968.323290000000270,91893.172919999997248,89451.403090000007069,86589.182579999993322,83249.478310000005877,79371.632740000000922,74893.159769999998389,69760.878460000007180,64235.852610000001732,58848.794540000002598,53842.297090000000026,49198.273249999998370,44888.052499999997963,40883.494570000002568,37161.812930000000051,33706.215300000003481,30503.556939999998576,27540.096069999999600,24800.294099999999162,22271.605670000000828,19949.400290000001405,17837.105859999999666,15939.619650000000547,14245.319709999999759,12683.737310000000434,297.673080000000027,297.673080000000027,298.480489999999975,299.801850000000002,302.710260000000005,304.806300000000022,305.823300000000017,306.427549999999997,306.804210000000012,307.057839999999999,307.460410000000024,308.258140000000026,308.998730000000023,309.468480000000000,310.043760000000020,311.814189999999996,315.226940000000013,319.144510000000025,322.250580000000014,325.058479999999975,327.113540000000000,328.766180000000020,330.402510000000007,332.132060000000024,333.723470000000020,335.122900000000016,336.927149999999983,340.590230000000020,347.871219999999994,359.210149999999999,371.196880000000021,371.196880000000021,36.092289999999998,999.000000000000000,"999","999",999.000000000000000,"999",999.000000000000000,999.000000000000000,"999","999",999.000000000000000,"999",999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,2.223360000000000,48.920259999999999,643085.559,6869199.063
101675.345790000006673,100983.930840000000899,100228.183650000006310,99329.279380000007222,98264.722389999995357,97007.577969999998459,95521.547550000002957,93764.738840000005439,91691.473060000003898,89251.930890000003274,86391.910269999993034,83054.429099999993923,79178.897639999995590,74704.203689999994822,69579.508340000000317,64063.509449999997742,58689.259550000002491,53699.307919999999285,49069.038480000002892,44769.375749999999243,40774.361120000001392,37060.965239999997721,33612.506339999999909,30415.542330000000220,27456.307720000000700,24720.406709999999293,22196.703850000001694,19880.727539999999863,17775.367760000000999,15883.484039999999368,14193.430070000000342,12683.656880000000456,297.669849999999997,297.669849999999997,298.453070000000025,299.790700000000015,302.787050000000022,304.819389999999999,305.823879999999974,306.434289999999976,306.804370000000006,307.061699999999973,307.461580000000026,308.253579999999999,308.997889999999984,309.473630000000014,310.041989999999998,311.802959999999985,315.220730000000003,319.139790000000005,322.256469999999979,325.071889999999996,327.098380000000020,328.789499999999975,330.421499999999980,332.145080000000007,333.744309999999984,335.124790000000019,336.929919999999981,340.582339999999988,347.864610000000027,359.210989999999981,371.198680000000024,371.198680000000024,36.694769999999998,999.000000000000000,"999","999",999.000000000000000,"999",999.000000000000000,999.000000000000000,"999","999",999.000000000000000,"999",999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,2.231910000000000,48.920259999999999,643712.108,6869192.934
101670.988819999998668,100979.637849999999162,100223.869760000001406,99324.916209999995772,98260.528730000005453,97003.528930000000400,95517.579219999999623,93760.886819999999716,91687.752980000004754,89248.353019999995013,86388.444820000004256,83051.102820000000065,79175.797659999996540,74701.351370000003953,69576.912020000003395,64061.140440000002855,58687.218390000001818,53697.707920000000740,49067.778380000003381,44768.397559999997611,40773.480779999998049,37060.127730000000156,33611.883170000000973,30415.046600000001490,27455.916030000000319,24720.117719999998371,22196.471919999999955,19880.550670000000537,17775.206760000000941,15883.362049999999726,14193.363129999999728,12683.624929999999949,297.666600000000017,297.666600000000017,298.422250000000020,299.779560000000004,302.863839999999982,304.832490000000007,305.824459999999988,306.441019999999980,306.804530000000000,307.065539999999999,307.458700000000022,308.252619999999979,309.008429999999976,309.473700000000008,310.031909999999982,311.792539999999974,315.228180000000009,319.158320000000003,322.256950000000018,325.085300000000018,327.083210000000008,328.812819999999988,330.440490000000011,332.158099999999990,333.765139999999974,335.126680000000022,336.932689999999980,340.574439999999981,347.857799999999997,359.211860000000001,371.200350000000014,371.200350000000014,37.066870000000002,999.000000000000000,"999","999",999.000000000000000,"999",999.000000000000000,999.000000000000000,"999","999",999.000000000000000,"999",999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,2.240450000000000,48.920250000000003,644337.914,6869185.768
101673.995110000003478,100982.630850000001374,100226.737030000003870,99327.534950000001118,98262.952839999998105,97005.894560000000638,95519.845490000006976,93763.040529999998398,91689.952720000001136,89250.591440000003786,86390.499569999999949,83052.917060000007041,79177.522660000002361,74702.972080000006827,69578.284150000006775,64062.243710000002466,58688.223400000002584,53698.779649999996764,49068.793559999998251,44769.380319999996573,40774.288009999996575,37060.742319999997562,33612.400939999999537,30415.443510000000970,27456.218919999999343,24720.377369999998336,22196.651910000000498,19880.665160000000469,17775.259559999998601,15883.359800000000178,14193.329390000000785,12683.561750000000757,297.654580000000010,297.654580000000010,298.358979999999974,299.717129999999997,302.868370000000027,304.858650000000011,305.800950000000000,306.439689999999985,306.820069999999987,307.071810000000028,307.449830000000020,308.247040000000027,309.008460000000014,309.473889999999983,310.026200000000017,311.795239999999978,315.250490000000013,319.176120000000026,322.260890000000018,325.093799999999987,327.072409999999991,328.838169999999991,330.444579999999974,332.180299999999988,333.779600000000016,335.124309999999980,336.934239999999988,340.568579999999997,347.855329999999981,359.211329999999975,371.199270000000013,371.199270000000013,36.838149999999999,999.000000000000000,"999","999",999.000000000000000,"999",999.000000000000000,999.000000000000000,"999","999",999.000000000000000,"999",999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,2.249000000000000,48.920250000000003,644964.465,6869179.775
101683.456130000005942,100992.023820000002161,100235.931679999994230,99336.336939999993774,98271.363400000002002,97013.990160000001197,95527.633409999994910,93770.599640000000363,91697.437380000003031,89257.965920000002370,86397.444300000002841,83059.284289999995963,79183.512189999994007,74708.549209999997402,69583.204599999997299,64066.516600000002654,58692.029490000000806,53702.231480000002193,49071.829259999998612,44772.116289999998116,40776.706409999998868,37062.671119999999064,33613.897929999999178,30416.603459999998449,27457.143700000000536,24721.154539999999542,22197.229100000000471,19881.048030000001745,17775.484150000000227,15883.458549999999377,14193.327530000000479,12683.480219999999463,297.649069999999995,297.649069999999995,298.263390000000015,299.492390000000000,302.788279999999986,304.821880000000021,305.776020000000017,306.445220000000006,306.842350000000010,307.078410000000019,307.432830000000024,308.236440000000016,309.023739999999975,309.472539999999981,310.016160000000013,311.800020000000018,315.261180000000024,319.177430000000015,322.267510000000016,325.104199999999992,327.060330000000022,328.784330000000011,330.425880000000006,332.158320000000003,333.785630000000026,335.127689999999973,336.935960000000023,340.556210000000021,347.851150000000018,359.212760000000003,371.195359999999994,371.195359999999994,36.072060000000000,999.000000000000000,"999","999",999.000000000000000,"999",999.000000000000000,999.000000000000000,"999","999",999.000000000000000,"999",999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,2.257540000000000,48.920250000000003,645590.283,6869173.857
101695.696890000006533,101004.221170000004349,100248.003169999996317,99348.109679999994114,98282.637350000004517,97024.792879999993602,95538.124689999996917,93780.798630000004778,91707.445380000004661,89267.811029999997118,86406.715339999995194,83067.826199999995879,79191.498349999994389,74715.887600000001839,69589.754990000001271,64072.291859999997541,58697.174310000002151,53706.817719999999099,49075.794110000002547,44775.628060000002733,40779.831460000001243,37065.182760000003327,33615.884610000000976,30418.201649999999063,27458.420089999999618,24722.180420000000595,22197.986830000001646,19881.555090000001655,17775.794559999998455,15883.606620000000476,14193.340099999999438,12683.390919999999824,297.666749999999979,297.666749999999979,298.206590000000006,299.412710000000004,302.623820000000023,304.797199999999975,305.762999999999977,306.446529999999996,306.863479999999981,307.088480000000004,307.392659999999978,308.228189999999984,309.017699999999991,309.470540000000028,310.009040000000027,311.800209999999993,315.265379999999993,319.180630000000008,322.262249999999995,325.128539999999987,327.037860000000023,328.720360000000028,330.418870000000027,332.148320000000012,333.784199999999998,335.131250000000023,336.940519999999992,340.553539999999998,347.845469999999978,359.212589999999977,371.192769999999996,371.192769999999996,35.054440000000000,999.000000000000000,"999","999",999.000000000000000,"999",999.000000000000000,999.000000000000000,"999","999",999.000000000000000,"999",999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,2.266090000000000,48.920240000000000,646216.824,6869166.887
101707.871979999996256,101016.274609999993118,100259.779989999995450,99359.584950000004028,98293.891470000002300,97035.665999999997439,95548.630059999995865,93791.037849999993341,91717.439180000001215,89277.374790000001667,86415.723840000006021,83076.289669999998296,79199.319149999995716,74722.993570000006002,69596.076839999994263,64077.875820000001113,58702.185449999997218,53711.305150000000140,49079.673920000001090,44778.975229999996372,40782.777040000000852,37067.633860000001732,33617.871760000001814,30419.853040000001783,27459.725109999999404,24723.173589999998512,22198.693749999998545,19882.021659999998519,17776.104589999999007,15883.765639999999621,14193.345709999999599,12683.310960000000705,297.666539999999998,297.666539999999998,298.054370000000006,299.293949999999995,302.526940000000025,304.722500000000025,305.747470000000021,306.440339999999992,306.865189999999984,307.086979999999983,307.391680000000008,308.217150000000004,308.999770000000012,309.470829999999978,309.997329999999977,311.799309999999991,315.271079999999984,319.183429999999987,322.245110000000011,325.138489999999990,327.041560000000004,328.688789999999983,330.409060000000011,332.127349999999979,333.749140000000011,335.106839999999977,336.928859999999986,340.560909999999978,347.849379999999996,359.200930000000028,371.188130000000001,371.188130000000001,34.064230000000002,999.000000000000000,"999","999",999.000000000000000,"999",999.000000000000000,999.000000000000000,"999","999",999.000000000000000,"999",999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,2.274630000000000,48.920240000000000,646842.644,6869161.104
101717.775429999994230,101025.809259999994538,100269.149680000002263,99368.928610000002664,98303.151249999995343,97044.775819999995292,95557.491880000001402,93799.528109999999288,91725.427790000001551,89284.823969999997644,86422.783490000001621,83082.968340000006719,79205.438280000002123,74728.509300000005169,69600.981020000006538,64082.236709999997402,58706.121180000001914,53714.857940000001690,49082.774920000003476,44781.579579999997804,40785.040480000003299,37069.572269999996934,33619.491020000001299,30421.229210000001331,27460.810750000000553,24723.979080000000977,22199.248439999999391,19882.359489999998914,17776.338810000001104,15883.898269999999684,14193.337410000000091,12683.246349999999438,297.557810000000018,297.557810000000018,298.044820000000016,299.242279999999994,302.470540000000028,304.697969999999998,305.732399999999984,306.398019999999974,306.852120000000014,307.078910000000008,307.399220000000014,308.205229999999972,308.990929999999992,309.468239999999980,309.988949999999988,311.794449999999983,315.270010000000013,319.184599999999989,322.234910000000013,325.141709999999989,327.040590000000009,328.673490000000015,330.396140000000003,332.107950000000017,333.723040000000026,335.092120000000023,336.914139999999975,340.548920000000010,347.861389999999972,359.184010000000001,371.180769999999995,371.180769999999995,33.284170000000003,999.000000000000000,"999","999",999.000000000000000,"999",999.000000000000000,999.000000000000000,"999","999",999.000000000000000,"999",999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,2.283180000000000,48.920229999999997,647469.187,6869154.270
101728.431230000001960,101036.333689999999478,100279.339300000006915,99378.861220000006142,98313.024730000004638,97054.414929999999003,95566.828689999994822,93808.557270000004792,91734.073420000000624,89293.036049999995157,86430.611619999996037,83090.362070000002859,79212.237439999997150,74734.654729999994743,69606.428490000005695,64087.063499999996566,58710.453090000002703,53718.788009999996575,49086.174720000002708,44784.386440000002040,40787.411610000002838,37071.616650000003574,33621.311350000003586,30422.818129999999655,27462.059819999998581,24724.876000000000204,22199.868020000001707,19882.744040000001405,17776.585770000001503,15884.040069999999105,14193.340070000000196,12683.165390000000116,297.526239999999973,297.526239999999973,297.901900000000012,299.307799999999986,302.519909999999982,304.651940000000025,305.726920000000007,306.393019999999979,306.850889999999993,307.078660000000013,307.405700000000024,308.198730000000012,308.982849999999985,309.467780000000005,309.982619999999997,311.794519999999977,315.278120000000001,319.199760000000026,322.225770000000011,325.145050000000026,327.033970000000011,328.677790000000016,330.410860000000014,332.090179999999975,333.684000000000026,335.069239999999979,336.909150000000011,340.539580000000001,347.875780000000020,359.175999999999988,371.173200000000008,371.173200000000008,32.424300000000002,999.000000000000000,"999","999",999.000000000000000,"999",999.000000000000000,999.000000000000000,"999","999",999.000000000000000,"999",999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,2.291720000000000,48.920229999999997,648095.008,6869148.623
101737.997669999997015,101045.612959999998566,100288.224350000004051,99387.276440000001458,98321.089779999994789,97062.269430000000284,95574.493990000002668,93816.012740000005579,91741.362479999996140,89300.113939999995637,86437.398719999997411,83096.697050000002491,79217.994510000004084,74739.823980000001029,69611.023730000000796,64091.157189999998081,58714.157599999998638,53722.182249999998021,49089.094080000002577,44786.765500000001339,40789.329169999997248,37073.328719999997702,33622.910640000001877,30424.238249999998516,27463.206559999998717,24725.686340000000200,22200.426189999998314,19883.088309999999183,17776.761299999998300,15884.132509999999456,14193.349150000000009,12683.106499999999869,297.443899999999985,297.443899999999985,297.744100000000003,299.174069999999972,302.389799999999980,304.632929999999988,305.713410000000010,306.399639999999977,306.882420000000025,307.080759999999998,307.403689999999983,308.180020000000013,308.964260000000024,309.458439999999996,309.978510000000028,311.803249999999991,315.287489999999991,319.199389999999994,322.220979999999997,325.128030000000024,327.036890000000028,328.722350000000006,330.419669999999996,332.096609999999998,333.654159999999990,335.048299999999983,336.898320000000012,340.522760000000005,347.880870000000016,359.178969999999993,371.165979999999990,371.165979999999990,31.688490000000002,999.000000000000000,"999","999",999.000000000000000,"999",999.000000000000000,999.000000000000000,"999","999",999.000000000000000,"999",999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,999.000000000000000,2.300270000000000,48.920220000000000,648721.553,6869141.924
