UT_1,UT_2,UT_3,UT_4,UT_5,UT_6,UT_7,UT_8,UT_9,UT_10,UT_11,UT_12,UT_13,UT_14,UT_15,UT_16,UT_17,UT_18,UT_19,UT_20,UT_21,UT_22,UT_23,UT_24,UT_25,UT_26,UT_27,UT_28,UT_29,UT_30,UT_31,UT_32,ZS,longitude,latitude,BLD_HEIGHT,X,Y,MNT
-1.34406,-1.34406,-2.3557,-4.81073,-6.43819,-5.72951,-4.72326,-3.60984,-2.36271,-1.17588,0.89472,2.61393,2.54562,3.09952,4.69258,5.41791,3.26927,0.92125,0.98969,-0.70778,-1.32256,-1.66932,-1.78842,-2.39258,-3.34476,-4.3923,-4.90255,-4.89195,-5.12791,-5.10822,-3.82433,-3.82433,47.10327,2.30444,48.86968,20.82,648977.631,6863519.451,37.90000
-1.24527,-1.24527,-1.94137,-4.92995,-6.38389,-5.59643,-4.76535,-3.64173,-2.39819,-1.20858,0.85242,2.57235,2.52082,3.02519,4.65715,5.44137,3.28573,1.00811,0.99107,-0.71528,-1.36252,-1.64159,-1.85961,-2.34417,-3.28281,-4.36026,-4.89585,-4.94424,-5.15879,-5.1065,-3.82797,-3.82797,42.76851,2.31298,48.86967,18.27667,649604.052,6863512.855,32.59000
-1.37345,-1.37345,-2.30696,-4.91103,-6.46313,-5.63357,-4.6511,-3.6108,-2.4402,-1.18051,0.79201,2.50309,2.52754,2.96007,4.61192,5.47425,3.30852,1.0132,1.02841,-0.69728,-1.41329,-1.63484,-1.94681,-2.32392,-3.22712,-4.30512,-4.87865,-4.98758,-5.20195,-5.09769,-3.83585,-3.83585,45.10536,2.32151,48.86966,21.785,650229.74,6863506.332,32.79000
-1.60194,-1.60194,-2.74718,-5.04021,-6.42172,-5.59106,-4.61586,-3.59301,-2.40915,-1.12126,0.72023,2.52687,2.57508,2.88106,4.61888,5.51865,3.31757,0.91316,1.10254,-0.6661,-1.44857,-1.63972,-2.00681,-2.31636,-3.21083,-4.26257,-4.87271,-5.0292,-5.23579,-5.07999,-3.85236,-3.85236,48.17532,2.33005,48.86965,22.59167,650856.163,6863499.872,34.90000
-1.83102,-1.83102,-3.25352,-5.0001,-6.43909,-5.76434,-4.61069,-3.53697,-2.35975,-1.04864,0.60651,2.56234,2.57659,2.87216,4.60581,5.54629,3.30502,0.85968,1.15506,-0.63555,-1.49088,-1.64183,-2.0189,-2.35424,-3.21621,-4.22679,-4.87511,-5.05926,-5.26527,-5.06118,-3.87314,-3.87314,48.75909,2.33859,48.86964,21.1375,651482.586,6863493.479,35.20000
-1.90799,-1.90799,-3.25651,-5.08282,-6.35606,-5.73696,-4.69612,-3.46758,-2.33226,-1.08471,0.55396,2.61266,2.51536,2.87821,4.57474,5.56941,3.28402,0.89418,1.1611,-0.60193,-1.54419,-1.7021,-1.99198,-2.37638,-3.21876,-4.21577,-4.86363,-5.0694,-5.2991,-5.05915,-3.88474,-3.88474,48.70568,2.34712,48.86963,18.925,652108.276,6863487.159,38.70000
-1.94657,-1.94657,-3.33679,-4.93946,-6.32461,-5.8056,-4.74222,-3.43346,-2.36872,-1.13824,0.58855,2.67748,2.45475,2.84362,4.59352,5.58773,3.255,0.96901,1.10978,-0.564,-1.583,-1.74671,-2.05694,-2.37332,-3.18088,-4.20141,-4.83097,-5.0566,-5.34318,-5.0782,-3.87832,-3.87832,47.26786,2.35566,48.86962,19.1675,652734.701,6863480.902,35.29000
-1.67782,-1.67782,-3.22382,-5.08903,-6.25552,-5.8275,-4.85031,-3.50454,-2.40477,-1.20637,0.71311,2.69786,2.40489,2.81372,4.58818,5.60164,3.2689,0.95161,1.06987,-0.5407,-1.58868,-1.74412,-2.14942,-2.40921,-3.17179,-4.17003,-4.78096,-5.01491,-5.38491,-5.13087,-3.85903,-3.85903,48.34172,2.3642,48.86961,17,653361.127,6863474.712,35.00000
-1.25822,-1.25822,-3.09029,-5.13143,-6.4078,-5.88068,-4.8501,-3.50355,-2.44321,-1.27812,0.87515,2.65382,2.4094,2.73737,4.64041,5.61225,3.26559,0.95571,1.05463,-0.56493,-1.56541,-1.72526,-2.18349,-2.48839,-3.19292,-4.16202,-4.74398,-4.97675,-5.4047,-5.16744,-3.85385,-3.85385,57.92521,2.37273,48.8696,15.8975,653986.82,6863468.595,47.90000
-1.99184,-1.99184,-3.07232,-4.92176,-6.44659,-5.90263,-4.81332,-3.74979,-2.33797,-1.27896,0.82206,2.63302,2.57679,2.98262,4.624,5.39082,3.28682,0.98831,0.99752,-0.74412,-1.32166,-1.69313,-1.76042,-2.37559,-3.34162,-4.39563,-4.91097,-4.91642,-5.15108,-5.11173,-3.82862,-3.82862,39.45734,2.30443,48.86406,21.53167,648971.393,6862894.56,29.10000
