VT_1,VT_2,VT_3,VT_4,VT_5,VT_6,VT_7,VT_8,VT_9,VT_10,VT_11,VT_12,VT_13,VT_14,VT_15,VT_16,VT_17,VT_18,VT_19,VT_20,VT_21,VT_22,VT_23,VT_24,VT_25,VT_26,VT_27,VT_28,VT_29,VT_30,VT_31,VT_32,ZS,longitude,latitude,BLD_HEIGHT,X,Y,MNT
-0.73814,-0.73814,-1.26691,0.35683,1.06983,1.21267,1.09078,0.71168,0.38553,-0.15215,-1.16831,-1.85327,-2.78817,-1.47582,-0.51125,-1.36908,-1.56561,2.02888,3.23784,4.17705,4.80628,4.4573,4.55648,4.56946,4.98581,5.09514,3.83095,1.20955,-1.36503,-2.47096,-2.59004,-2.59004,39.45734,2.3087,48.86687,21.53167,649287.377,6863204.257,33.40000
-0.92021,-0.92021,-1.32628,0.22188,1.08663,1.22169,1.07678,0.73483,0.36373,-0.15173,-1.14989,-1.88352,-2.8215,-1.51305,-0.45361,-1.36391,-1.57592,2.08519,3.22463,4.16956,4.84697,4.48629,4.52035,4.54483,4.96914,5.06727,3.83107,1.24334,-1.35199,-2.4951,-2.60212,-2.60212,37.12726,2.31724,48.86686,15.68286,649913.832,6863197.695,32.79000
-1.0827,-1.0827,-1.35603,0.44406,1.08873,1.19661,1.10766,0.75219,0.32704,-0.16302,-1.04024,-1.98684,-2.85122,-1.51518,-0.40068,-1.38945,-1.61264,2.13984,3.19939,4.15762,4.84499,4.51672,4.50538,4.54673,4.95224,5.04395,3.83308,1.259,-1.34664,-2.5201,-2.61342,-2.61342,39.03274,2.32577,48.86685,16.934,650539.554,6863191.206,32.40000
-1.20111,-1.20111,-1.34451,0.42873,1.04757,1.1516,1.14834,0.72265,0.30582,-0.20486,-0.91509,-2.01465,-2.89139,-1.51539,-0.37892,-1.42092,-1.6204,2.12672,3.1802,4.14317,4.814,4.53892,4.5097,4.55912,4.93257,5.02979,3.81839,1.27442,-1.33899,-2.54569,-2.62563,-2.62563,44.02898,2.33431,48.86684,23.16,651166.011,6863184.779,34.50000
-1.27923,-1.27923,-1.34596,0.6225,0.97783,1.11614,1.16917,0.69735,0.29134,-0.19507,-0.82794,-2.00858,-2.99123,-1.63667,-0.41575,-1.44736,-1.61376,2.10017,3.18825,4.12113,4.78639,4.55105,4.53704,4.56921,4.91479,5.0231,3.79613,1.27899,-1.32492,-2.56055,-2.642,-2.642,46.68999,2.34285,48.86683,20.71667,651792.468,6863178.419,36.59000
-1.4673,-1.4673,-1.59665,0.30483,0.90688,1.04457,1.15508,0.7075,0.28862,-0.1961,-0.83696,-1.95304,-2.9646,-1.67777,-0.44401,-1.45693,-1.63139,2.0648,3.1886,4.09646,4.76776,4.57198,4.57067,4.57827,4.91653,5.0043,3.76881,1.28059,-1.30984,-2.57053,-2.65972,-2.65972,46.81231,2.35138,48.86682,19.43111,652418.193,6863172.133,33.90000
-1.58881,-1.58881,-1.4306,0.37595,0.82367,1.0005,1.13181,0.7214,0.26103,-0.16191,-0.90002,-1.871,-2.91747,-1.74211,-0.48598,-1.46492,-1.65659,2.01676,3.20042,4.06112,4.72781,4.60296,4.57442,4.61157,4.93149,4.96508,3.74299,1.27897,-1.29759,-2.57643,-2.67525,-2.67525,45.35238,2.35992,48.86681,17.89,653044.652,6863165.909,35.00000
-1.31665,-1.31665,-1.21019,0.39404,0.85686,0.95046,1.14068,0.7118,0.24355,-0.15002,-0.98173,-1.8131,-2.83219,-1.71925,-0.51135,-1.46087,-1.66535,2.07194,3.21752,4.03505,4.70977,4.61508,4.56738,4.64347,4.94786,4.94133,3.70506,1.27998,-1.28249,-2.58309,-2.69103,-2.69103,46.05283,2.36846,48.8668,17.82333,653671.112,6863159.753,35.59000
-0.82798,-0.82798,-0.89655,0.50395,0.81356,0.95409,1.12904,0.68841,0.23175,-0.14505,-1.09481,-1.83358,-2.81377,-1.62488,-0.50339,-1.46299,-1.59866,2.19029,3.26006,3.97561,4.6824,4.6026,4.57375,4.66955,4.96934,4.91792,3.67015,1.25646,-1.27977,-2.58647,-2.70807,-2.70807,51.17166,2.37699,48.86679,16.99667,654296.839,6863153.67,43.50000
-0.86464,-0.86464,-0.86555,0.52364,1.04012,1.18317,1.07597,0.74905,0.36235,-0.13354,-1.14039,-1.8174,-2.77742,-1.4144,-0.60053,-1.35303,-1.58,2.03407,3.20744,4.22686,4.78615,4.46243,4.58322,4.59742,4.98322,5.06082,3.8095,1.21544,-1.35218,-2.50265,-2.5912,-2.5912,41.84475,2.30869,48.86125,18.695,649281.173,6862579.368,31.20000
