WT_1,WT_2,WT_3,WT_4,WT_5,WT_6,WT_7,WT_8,WT_9,WT_10,WT_11,WT_12,WT_13,WT_14,WT_15,WT_16,WT_17,WT_18,WT_19,WT_20,WT_21,WT_22,WT_23,WT_24,WT_25,WT_26,WT_27,WT_28,WT_29,WT_30,WT_31,WT_32,ZS,longitude,latitude,BLD_HEIGHT,X,Y,MNT
0.00514,0.00514,0.02765,0.00733,0.06269,0.05214,0.01658,-0.00961,-0.04621,-0.07736,-0.09164,-0.15526,-0.04892,-0.04097,0.01671,-0.00284,0.00955,0.02132,-0.05457,-0.03826,0.01295,0.03454,0.00647,0.13351,0.10266,0.00798,-0.05374,-0.07862,-0.00846,0.03743,-0.00419,"0",47.10327,2.30871,48.86967,20.82,649290.837,6863515.588,34.50000
-0.01031,-0.01031,0.00729,0.01348,0.00665,0.01968,0.0438,-0.0023,-0.0402,-0.05672,-0.0859,-0.13835,-0.01306,-0.03713,0.02995,0.05221,0.04454,0.00749,-0.01692,-0.07895,-0.08159,-0.02309,0.00504,0.15994,0.14383,0.05903,-0.03354,-0.07664,-0.02665,0.04669,-0.01193,"0",42.76851,2.31724,48.86967,18.27667,649916.534,6863510.144,32.40000
-0.0172,-0.0172,-0.01528,-0.00779,0.01735,0.02158,0.02753,0.01916,-0.00141,-0.0437,-0.07882,-0.10337,-0.04603,-0.06553,0.03495,0.07313,0.04587,-0.03915,0.05588,-0.08172,-0.12509,-0.08748,-0.01617,0.10915,0.10162,0.06172,-0.03329,-0.05257,-0.02242,0.04468,-0.01961,"0",45.10536,2.32578,48.86966,21.785,650542.956,6863503.65,34.50000
-0.00907,-0.00907,-0.0298,0.00145,-0.02522,-0.01778,0.02479,0.03169,-0.00683,-0.05966,-0.11827,-0.1022,-0.06319,-0.01692,0.01143,0.04888,-0.00144,-0.02413,0.03808,-0.07548,-0.14201,-0.12377,-0.04196,0.02391,0.08204,0.05838,-0.03227,-0.02788,-0.02782,0.04025,-0.02458,"0",48.17532,2.33432,48.86965,22.59167,651169.379,6863497.223,33.50000
-0.00137,-0.00137,-0.03303,-0.01156,-0.00079,-0.0034,-0.01858,0.00615,-0.04517,-0.08101,-0.08553,-0.09571,-0.09132,-0.00756,-0.01393,0.01589,-0.02843,0.01364,-0.01231,-0.05955,-0.14503,-0.11153,0.00756,0.03031,0.08191,0.04331,-0.00285,-0.01393,-0.04522,0.02939,-0.01315,"0",48.75909,2.34285,48.86964,21.1375,651795.069,6863490.87,35.09000
0.0007,0.0007,-0.01478,0.03379,-0.02841,-0.03881,-0.03229,-0.02164,-0.06243,-0.07326,-0.05564,-0.08299,-0.12312,-0.06434,-0.01264,-0.01359,-0.05867,0.05162,-0.06157,-0.03261,-0.11381,-0.09715,-0.02535,0.12022,0.13959,0.06132,0.04581,0.01379,-0.05907,0.02148,0.00699,"0",48.70568,2.35139,48.86963,18.925,652421.493,6863484.578,41.00000
-0.00246,-0.00246,-0.02299,0.01613,-0.02039,-0.04808,-0.06439,-0.04636,-0.05208,-0.06483,-0.01597,-0.06976,-0.10334,-0.06031,-0.04472,-0.02374,-0.0476,0.03129,-0.05392,-0.03746,-0.06008,-0.08232,-0.09293,0.06083,0.12503,0.09971,0.07686,0.03091,-0.07803,-0.00475,0.019,"0",47.26786,2.35993,48.86962,19.1675,653047.918,6863478.354,36.29000
-0.02034,-0.02034,-0.03105,-0.00659,-0.05836,-0.05531,-0.06405,-0.0613,-0.0866,-0.09213,-0.03323,-0.07274,-0.04758,-0.01963,0.00424,-0.01422,-0.01502,0.03145,-0.07656,-0.06481,0.01245,-0.04485,-0.08547,-0.04775,0.06395,0.08011,0.09071,0.05532,-0.04685,-0.001,0.00465,"0",48.34172,2.36846,48.86961,17,653673.611,6863472.204,39.29000
-0.04141,-0.04141,-0.04173,0.01898,0.03571,0.01094,-0.01145,-0.0045,-0.06949,-0.13468,-0.0867,-0.07429,-0.03292,-0.00602,-0.01467,-0.0087,-0.02051,-0.01415,-0.04468,-0.08216,0.05856,0.02964,0.03184,-0.09107,-0.0189,0.06262,0.10361,0.07224,-0.02951,0.00167,-0.00699,"0",57.92521,2.377,48.86959,15.8975,654300.029,6863465.004,48.79000
0.00716,0.00716,-0.02008,-0.02617,0.00764,0.01343,-0.01771,-0.0322,-0.01432,-0.02828,-0.03659,-0.02204,-0.00093,0.03751,0.08408,0.06521,0.04991,0.00258,-0.00352,-0.06621,-0.02378,-0.00358,-0.00274,0.11352,0.10939,0.04957,-0.03223,-0.07261,-0.01774,0.03579,-0.00894,"0",39.45734,2.3087,48.86406,21.53167,649284.642,6862891.809,28.70000
0.00021,0.00021,-0.01769,0.00325,0.01032,0.00596,-0.0012,-0.01367,-0.01852,-0.02451,-0.04765,-0.07132,0.03303,0.07296,0.12606,0.06792,0.0239,-0.03325,0.04918,-0.05471,-0.11135,-0.08164,-0.06555,0.12275,0.17633,0.08874,-0.00538,-0.06084,-0.02057,0.03853,-0.00911,"0",37.12726,2.31723,48.86405,15.68286,649910.397,6862885.252,27.00000
-0.01412,-0.01412,-0.02515,-0.00582,0.01151,0.00837,0.01144,-0.00313,-0.01676,-0.02342,-0.05192,-0.09879,0.03289,0.00953,0.0708,0.00353,-0.00488,-0.02247,0.04238,-0.03835,-0.14802,-0.11776,-0.09923,0.05964,0.10433,0.07352,0.00621,-0.05549,-0.01264,0.04047,-0.01352,"0",39.03274,2.32577,48.86404,16.934,650536.887,6862878.757,32.29000
